idQuestionFormats,"questionFormat","answerFormat","userResponseType"
127,"When is [COURSE_DEPT][COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
128,"When is [COURSE_DEPT]_[COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
129,"When is [COURSE_DEPT] [COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
130,"When is [COURSE_DEPT]-[COURSE_NUM] offered?","[COURSE_TERMSOFFERED]","QUESTION"
131,"When is [COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
132,"When is [COURSE_DEPT][COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
133,"When is [COURSE_DEPT]_[COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
134,"When is [COURSE_DEPT] [COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
135,"When is [COURSE_DEPT]-[COURSE_NUM] available?","[COURSE_TERMSOFFERED]","QUESTION"
136,"When can I take [COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
137,"When can I take [COURSE_DEPT][COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
138,"When can I take [COURSE_DEPT]_[COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
139,"When can I take [COURSE_DEPT] [COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
140,"When can I take [COURSE_DEPT]-[COURSE_NUM]?","[COURSE_TERMSOFFERED]","QUESTION"
141,"Does [COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
142,"Does [COURSE_DEPT][COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
143,"Does [COURSE_DEPT]_[COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
144,"Does [COURSE_DEPT] [COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
145,"Does [COURSE_DEPT]-[COURSE_NUM] fulfill more than one requirement?","[UNKNOWN]","QUESTION"
146,"How many units is [COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
147,"How many units is [COURSE_DEPT][COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
148,"How many units is [COURSE_DEPT]_[COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
149,"How many units is [COURSE_DEPT] [COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
150,"How many units is [COURSE_DEPT]-[COURSE_NUM]?","[COURSE_UNITS]","QUESTION"
151,"How many units does [COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
152,"How many units does [COURSE_DEPT][COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
153,"How many units does [COURSE_DEPT]_[COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
154,"How many units does [COURSE_DEPT] [COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
155,"How many units does [COURSE_DEPT]-[COURSE_NUM] have?","[COURSE_UNITS]","QUESTION"
156,"How many units does [COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
157,"How many units does [COURSE_DEPT][COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
158,"How many units does [COURSE_DEPT]_[COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
159,"How many units does [COURSE_DEPT] [COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
160,"How many units does [COURSE_DEPT]-[COURSE_NUM] fulfill?","[COURSE_UNITS]","QUESTION"
161,"Does [COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
162,"Does [COURSE_DEPT][COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
163,"Does [COURSE_DEPT]_[COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
164,"Does [COURSE_DEPT] [COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
165,"Does [COURSE_DEPT]-[COURSE_NUM] fulfill anything?","[UNKNOWN]","QUESTION"
166,"What requirements does [COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
167,"What requirements does [COURSE_DEPT][COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
168,"What requirements does [COURSE_DEPT]_[COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
169,"What requirements does [COURSE_DEPT] [COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
170,"What requirements does [COURSE_DEPT]-[COURSE_NUM] fulfill?","[UNKNOWN]","QUESTION"
171,"How many lectures does [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
172,"How many lectures does [COURSE_DEPT][COURSE_NUM] have?","[UNKNOWN]","QUESTION"
173,"How many lectures does [COURSE_DEPT]_[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
174,"How many lectures does [COURSE_DEPT] [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
175,"How many lectures does [COURSE_DEPT]-[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
176,"How many times a week does [COURSE_NUM] week?","[UNKNOWN]","QUESTION"
177,"How many times a week does [COURSE_DEPT][COURSE_NUM] week?","[UNKNOWN]","QUESTION"
178,"How many times a week does [COURSE_DEPT]_[COURSE_NUM] week?","[UNKNOWN]","QUESTION"
179,"How many times a week does [COURSE_DEPT] [COURSE_NUM] week?","[UNKNOWN]","QUESTION"
180,"How many times a week does [COURSE_DEPT]-[COURSE_NUM] week?","[UNKNOWN]","QUESTION"
181,"How many lectures make up [COURSE_NUM]?","[UNKNOWN]","QUESTION"
182,"How many lectures make up [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
183,"How many lectures make up [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
184,"How many lectures make up [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
185,"How many lectures make up [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
186,"Does [COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
187,"Does [COURSE_DEPT][COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
188,"Does [COURSE_DEPT]_[COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
189,"Does [COURSE_DEPT] [COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
190,"Does [COURSE_DEPT]-[COURSE_NUM] have a lab?","[UNKNOWN]","QUESTION"
191,"Do I have to take a lab with [COURSE_NUM]?","[UNKNOWN]","QUESTION"
192,"Do I have to take a lab with [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
193,"Do I have to take a lab with [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
194,"Do I have to take a lab with [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
195,"Do I have to take a lab with [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
196,"How many labs does [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
197,"How many labs does [COURSE_DEPT][COURSE_NUM] have?","[UNKNOWN]","QUESTION"
198,"How many labs does [COURSE_DEPT]_[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
199,"How many labs does [COURSE_DEPT] [COURSE_NUM] have?","[UNKNOWN]","QUESTION"
200,"How many labs does [COURSE_DEPT]-[COURSE_NUM] have?","[UNKNOWN]","QUESTION"
201,"Does [COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
202,"Does [COURSE_DEPT][COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
203,"Does [COURSE_DEPT]_[COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
204,"Does [COURSE_DEPT] [COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
205,"Does [COURSE_DEPT]-[COURSE_NUM] have any prerequisites?","[LIST:PREREQ]","QUESTION"
206,"How many prerequisites does [COURSE_NUM] have?","[COUNT:PREREQ]","QUESTION"
207,"How many prerequisites does [COURSE_DEPT][COURSE_NUM] have?","[COUNT:PREREQ]","QUESTION"
208,"How many prerequisites does [COURSE_DEPT]_[COURSE_NUM] have?","[COUNT:PREREQ]","QUESTION"
209,"How many prerequisites does [COURSE_DEPT] [COURSE_NUM] have?","[COUNT:PREREQ]","QUESTION"
210,"How many prerequisites does [COURSE_DEPT]-[COURSE_NUM] have?","[COUNT:PREREQ]","QUESTION"
211,"Are there any prerequisites for [COURSE_NUM]?","[LIST:PREREQ]","QUESTION"
212,"Are there any prerequisites for [COURSE_DEPT][COURSE_NUM]?","[LIST:PREREQ]","QUESTION"
213,"Are there any prerequisites for [COURSE_DEPT]_[COURSE_NUM]?","[LIST:PREREQ]","QUESTION"
214,"Are there any prerequisites for [COURSE_DEPT] [COURSE_NUM]?","[LIST:PREREQ]","QUESTION"
215,"Are there any prerequisites for [COURSE_DEPT]-[COURSE_NUM]?","[LIST:PREREQ]","QUESTION"
216,"What classes can I take instead of [COURSE_NUM]?","[UNKNOWN]","QUESTION"
217,"What classes can I take instead of [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
218,"What classes can I take instead of [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
219,"What classes can I take instead of [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
220,"What classes can I take instead of [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
221,"What are alternatives to [COURSE_NUM]?","[UNKNOWN]","QUESTION"
222,"What are alternatives to [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
223,"What are alternatives to [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
224,"What are alternatives to [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
225,"What are alternatives to [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
226,"Are there any alternatives for [COURSE_NUM]?","[UNKNOWN]","QUESTION"
227,"Are there any alternatives for [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
228,"Are there any alternatives for [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
229,"Are there any alternatives for [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
230,"Are there any alternatives for [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
231,"How many alternative does [COURSE_NUM] Have?","[UNKNOWN]","QUESTION"
232,"How many alternative does [COURSE_DEPT][COURSE_NUM] Have?","[UNKNOWN]","QUESTION"
233,"How many alternative does [COURSE_DEPT]_[COURSE_NUM] Have?","[UNKNOWN]","QUESTION"
234,"How many alternative does [COURSE_DEPT] [COURSE_NUM] Have?","[UNKNOWN]","QUESTION"
235,"How many alternative does [COURSE_DEPT]-[COURSE_NUM] Have?","[UNKNOWN]","QUESTION"
236,"Can I take something else instead of [COURSE_NUM]?","[UNKNOWN]","QUESTION"
237,"Can I take something else instead of [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
238,"Can I take something else instead of [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
239,"Can I take something else instead of [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
240,"Can I take something else instead of [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
241,"What courses substitute [COURSE_NUM]?","[UNKNOWN]","QUESTION"
242,"What courses substitute [COURSE_DEPT][COURSE_NUM]?","[UNKNOWN]","QUESTION"
243,"What courses substitute [COURSE_DEPT]_[COURSE_NUM]?","[UNKNOWN]","QUESTION"
244,"What courses substitute [COURSE_DEPT] [COURSE_NUM]?","[UNKNOWN]","QUESTION"
245,"What courses substitute [COURSE_DEPT]-[COURSE_NUM]?","[UNKNOWN]","QUESTION"
246,"Does [COURSE_NUM] have any preqs?","[LIST:PREREQ]","QUESTION"
247,"Does [COURSE_DEPT][COURSE_NUM] have any preqs?","[LIST:PREREQ]","QUESTION"
248,"Does [COURSE_DEPT]_[COURSE_NUM] have any preqs?","[LIST:PREREQ]","QUESTION"
249,"Does [COURSE_DEPT] [COURSE_NUM] have any preqs?","[LIST:PREREQ]","QUESTION"
250,"Does [COURSE_DEPT]-[COURSE_NUM] have any preqs?","[LIST:PREREQ]","QUESTION"
251,"Is [COURSE_NUM] being offered this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
252,"Is [COURSE_DEPT][COURSE_NUM] being offered this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
253,"Is [COURSE_DEPT]_[COURSE_NUM] being offered this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
254,"Is [COURSE_DEPT] [COURSE_NUM] being offered this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
255,"Is [COURSE_DEPT]-[COURSE_NUM] being offered this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
256,"Can I take [COURSE_NUM] this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
257,"Can I take [COURSE_DEPT][COURSE_NUM] this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
258,"Can I take [COURSE_DEPT]_[COURSE_NUM] this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
259,"Can I take [COURSE_DEPT] [COURSE_NUM] this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
260,"Can I take [COURSE_DEPT]-[COURSE_NUM] this quarter?","[COURSE_TERMSOFFERED]","QUESTION"
261,"Do I need to take [COURSE_NUM] to major in Statistics?","[UNKNOWN]","QUESTION"
262,"Do I need to take [COURSE_DEPT][COURSE_NUM] to major in Statistics?","[UNKNOWN]","QUESTION"
263,"Do I need to take [COURSE_DEPT]_[COURSE_NUM] to major in Statistics?","[UNKNOWN]","QUESTION"
264,"Do I need to take [COURSE_DEPT] [COURSE_NUM] to major in Statistics?","[UNKNOWN]","QUESTION"
265,"Do I need to take [COURSE_DEPT]-[COURSE_NUM] to major in Statistics?","[UNKNOWN]","QUESTION"
266,"Is [COURSE_NUM] necessary to get a stats degree?","[UNKNOWN]","QUESTION"
267,"Is [COURSE_DEPT][COURSE_NUM] necessary to get a stats degree?","[UNKNOWN]","QUESTION"
268,"Is [COURSE_DEPT]_[COURSE_NUM] necessary to get a stats degree?","[UNKNOWN]","QUESTION"
269,"Is [COURSE_DEPT] [COURSE_NUM] necessary to get a stats degree?","[UNKNOWN]","QUESTION"
