questionFormat,answerFormat
When did [PROF] get their Master's?,[Instructor] received their Master's on [Date].
What year did [PROF] get their Master's?,[Instructor] received their Master's on [Date].
When did [PROF] get their doctorate?,[Instructor] received their doctorate on [Date].
What year did [PROF] get their doctorate?,[Instructor] received their doctorate on [Date].
What is [PROF]'s title?,[Instructor] has the title of [Title].
What is the title of [PROF]?,[Instructor] has the title of [Title].
What is the email of [PROF]?,[Instructor]'s email is [Email].
What is [PROF]'s phone number?,[Instructor]'s phone number is [Phone Number].
What is the phone number of [PROF]?,[Instructor]'s phone number is [Phone Number].
Where is [PROF]'s office?,[Instructor]'s office is in [Room].
What building is [PROF]'s office in?,[Instructor]'s office is in [Building].
What time does [PROF] have office hours today?,[Instructor] has office hours at [Time].
What days does [PROF] have office hours?,[Instructor] has office hours on [Weekdays].
Which professors neighbor [PROF]?,[Instructors] neighbor [Instructor].
How many professors neighbor [PROF]?,[N] professors neighbor [Instructor].
When will [PROF] be at his/her office?,[Instructor] will be at their office at [Time].
Is [PROF] at their office right now?,[Boolean].
How many classes is [PROF] teaching this quarter?,[Instructor] is teaching [N] classes this quarter.
How many classes is [PROF] teaching next quarter?,[Instructor] is teaching [N] classes next quarter.
How many polyratings does [PROF] have?,[Instructor] has [N] polyratings.
Does [PROF] recognize student difficulties?,[Boolean].
How well does [PROF] recognize student difficulties?,[Instructor] recognizes student difficulties with a [Star] star rating.
Does [PROF] present material clearly?,[Boolean].
How clearly does [PROF] present material?,[Instructor] presents material with a [Star] star rating.
What grades has [PROF] given out (on polylearn)?,[Instructor] has given out [Grades].
What is the average polyratings grade for [PROF]?,[Instructor] has an average polyratings grade of [Grade].
What professional distinctions does [PROF] have?,[Instructor] has [Professional Distinctions].
Does [PROF] have any areas of research?,[Instructor] is researching [Topic].
What are the Mathematics/Statistics Support Elective options for [MMC],The available Mathematics/Statistics Support Elective options for [MAJOR] are: [COURSE_LIST]
What are the approved technical electives for [MMC],The available approved technical elective options for [MAJOR] are: [COURSE_LIST]
Which courses will count as approved external electives for [MMC],The available approved external elective options for [MAJOR] are: [COURSE_LIST]
Is taking the GRE required for acceptance into the 4+1 program for [MMC]?,"No, for [MAJOR] majors, students do not need to take the General Record Exam."
What classes are availabe to satisfy the pre-requisite technical elective course for [MMC]?,The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST]
Which courses will count as approved pre-requisite technical electives for [MMC],The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST]
What [MMC] electives are offered next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
What are the electives being offered for [MMC] next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
Which electives are offered for [MMC] for next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
What courses are required for the [MMC] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].
Which courses do I need to take for the [MMC] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].
How many units are required to obtain the 4+1 blended BS/MS degree for [MMC]?,[NUM_UNITS] are required to obtain a BS/MS degree via the 4+1 program for [MAJOR]
What courses are required for the [MMC] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].
Which courses do I need to take for the [MMC] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].
What are the life science support elective options for [MMC],[MAJOR] requires the following life support courses: [COURSE_LIST]
What are the support course options for [MMC]?,[MAJOR] requires the following support courses: [COURSE_LIST]
Which courses are part of the [MMC]?,[CONCENTRATION] has the following courses: [COURSE_LIST].
Which courses are optional for [MMC]?,The following courses are optional for [MINOR]: [COURSE_LIST].
Which courses in [MMC] can I skip through AP Credit?,"The following AP exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N]."
Which courses in [MMC] can I skip through IB Credit?,"The following IB exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N]."
Which minor or concentration adds the least amount of graduation time to the [MMC]?,"[MINOR/CONCENTRATION] adds only [NUMERIC] extra units to [MAJOR], assuming that you double-count as many classes as possible."
How many general education courses do I need to take for the [MMC] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] general education courses."
How many support courses do I need to take for the [MMC] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] courses."
What is the units break down for [MMC] major?,"You need [NUM_UNITS] major units, [NUM_UNITS] GE units, [NUM_UNITS] support units, [NUM_UNITS] life science support elective units, ..., [NUM_UNITS] free elective units"
How many GE units do I need for the [MMC] major?,You need [NUM_UNITS] GE units to complete the [MAJOR] major.
How many support units do I need for the [MMC] major?,You need [NUM_UNITS] support units to complete the [MAJOR] major.
How many units do I need for the [MMC] major?,You need [NUM_UNITS] units to complete the [MAJOR] major.
"In order to complete the [MMC] major, how many units will I need?",You need [NUM_UNITS] units to complete the [MAJOR] major.
How many units do I need for the [MMC] minor?,You need [NUM_UNITS] units to complete the [MINOR] minor.
How many units does the [MMC] require?,The [MAJOR] requires [NUMERIC] units to graduate.
How many classes per quarter do I have to take for [MMC]?,"To finish the [MAJOR] in 4 years, you must average [NUMERIC] classes per quarter."
How many concentrations are there in [MMC]?,There are [NUMERIC] concentrations in [MAJOR]. They are: [CONCENTRATION_LIST].
How many courses are required for [MMC]?,[MINOR] requires [NUMERIC] courses. They are:  [COURSE_LIST].
Can I double major with [MMC]?,"[Y]: In addition to [MAJOR], you may also major in [MAJOR_LIST]: You may not double major with [MAJOR]."
What are the degree requirements for [MMC]?,The degree requirements for [MAJOR] are: [DEGREE_REQUIREMENTS]
How many students are enrolled in [MMC]?,There are currently [TOTAL_COUNT] students enrolled in [MAJOR]
Is there a BS/MS blend with [MMC]?,[Y]: [MAJOR] has a 4+1 BS/MS program or [N]: [MAJOR] currently does not have a blended Bachelor's and Masters program
How many units are required for [MMC]?,[TOTAL_COUNT] units are required to obtain a [MINOR] minor
Does an inquiry need to be submitted to switch into [MMC],"If one is switching within the College of Engineering into [MAJOR], then there is no portal inquiry required to switch."
What are the minimum requirements to switch into [MMC],To switch into [MAJOR]: [REQUIREMENTS]
Does [MMC] contain any free electives?,Y/N: [MAJOR] does (not) have free electives are part of its degree requirements
What courses are needed to obtain [MMC],"To obtain the [CONCENTRATION] concentration, students must take [COURSE][0], [COURSE][1]...and [COURSE][N]"
Is there a GPA requirement to enroll in [MMC],"Y/N, there is (not) a GPA requirement to begin this [CONCENTRATION].  if yes: The GPA requirement to enroll is [GPA_REQ]"
How many tech electives are required for [MMC]?,There are [TOTAL_ELECTIVE_COUNT] electives required as part of the [MAJOR] degree requirements
What are the general education categories required for [MMC] majors?,The general education categories needed for [MAJOR] majors are [GE_TYPES]
Are there any [MMC] classes that can be taken by credit/no credit?,"N, there are no major classes for [MAJOR] that can be taken on a pass/fail basis."
Can any technical electives for [MMC] be taken by credit/no credit?,"N, technical electives for [MAJOR] majors are not allowed to be taken on a pass/fail basis."
How many GEs do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many general educations do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many general education classes do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many units of electives do I need for [MMC]?,You need [ge-elective-units-major] of electives to graduate in [major].
What is the total number of units of electives needed to graduate in [MMC]?,You need [ge-elective-units-major] of electives to graduate in [major].
How many approved electives do I have to take for the [MMC]?,You have to take [minor-approved-electives-units] approved electives for the [minor].
What are the approved electives I can take for a [MMC]?,The approved electives for a [minor] are [approved-electives-minor]
What are the program educational objectives for the [MMC]?,The program educational objectives for the [major] are [major-peos].
What are the learning outcomes of [MMC]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
What are the learning outcomes for [MMC]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
What are the [MMC] courses?,The [major] courses are [major-courses].
What are the courses required for [MMC]?,The [major] courses are [major-courses].
How many courses do we have in [MMC]?,The number of courses in [major] are: [total-num-of-courses].
What are some [MMC] resources that are available?,These are some that are available to you: [major-resources].
What resources are there for [MMC]?,These are some resources that are available to you: [major-resources].
Where can I get advising for a [MMC]?,These are some resources that are available to you: [major-resources].
What are the course numbers that are considered independent study in [MMC]?,The courses that are considered independent study are: [independent-study-courses].
How many units does the [MMC] require?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
How many units do I need for a [MMC]?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
What are the steps to apply for the [MMC]?,You need to take [minor-steps] to attain a  [minor].
How do I apply for a [MMC]?,You need to take [minor-steps] to attain a [minor].
What are the required courses for the [MMC]?,The required courses for the [minor] are: [required-minor-courses].
What are the prerequisites for the [MMC]?,You need to meet the following requirements to apply for the [minor]: [minor-prerequisites].
Where can I get the application for the [MMC]?,You can access the application for the [minor] in the following link: [minor-application-link].
Where can I get the flowchart for the [MMC]?,You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].
What courses should I take each quarter for the [MMC]?,"In order to determine what courses you should take each quarter in order to pursue the [minor], you should visit the minors flowchart. You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link]."
How many classes do I have to take for [MMC]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.
What is the total number of classes needed to graduate in [MMC]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.
How do I declare [MMC] concentration?,You need to complete the following steps [concentration-type-steps]
What are the required courses for the [MMC]?,The required courses for the [concentration] are [concentration-required-courses].
Who are the minor advisors for [MMC]?,The minor advisors for [minor] are [minor-advisors].
Who can I contact to get more information about the [MMC]?,You can contact [minor-advisors] to learn more about [minor].
Who can I contact if I have questions about [MMC]?,"If you have questions about [minor], you may contact [contact-info]."
Who will help me if I have doubts about [MMC]?,"If you have questions about [minor], you may contact [contact-info]."
Where can I get the flowchart for [MMC]?,"In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link]."
What are the GE area required for [MMC]?,List of Strings
What are the undergraduate courses for [MMC]?,List of Strings
What are the graduate courses for [MMC]?,List of Strings
How many courses are required for [MMC]?,Number
How many GE areas have to be completed for [MMC]?,Number
What minor would make more sense with [MMC],String
"At best, how long last [MMC]?",Number
How many years are necessary to graduate from [MMC]?,Number
What are the tech electives for [MMC]?,[Course(s)]
What courses are electives for [MMC]?,[Course(s)]
What electives can I take to get a [MMC]?,[Course(s)]
What courses are credit not allowed for [MMC]?,The following courses do not allow credit for [MAJOR] students: [DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME]...
What are the program objectives of [MMC]?,[Program Objectives]
What are the learning outcomes of [MMC]?,[Learning Outcomes]
How many people are in the classes for [MMC]?,[Number] are in a typical class for [Major].
Who accredits the [MMC]?,[Name] accredits the major.
What are the prerequisites for [MMC]?,[Minor]'s prerequisites are: [list of prerequisites]
Is there a [MMC] Minor?,"(Yes/no), the CSSE department (does/doesn't) offer the following a [Minor] Minor;"
What is the [MMC] Minor?,The [Minor] Minor encompasses [text]
Is [MMC] a part of another department?,"(Yes/no), the [Minor] Minor is a part of the [Name] department and the [Name] department."
Who is the advisor for [MMC]?,[Name] is the advisor for the [Minor] Minor
How many units to get a Minor in [MMC]?,[Minor] requires [units] number of units.
How many prerequisites are there for [MMC]?,[Count] prerequisites for [Minor].
How many students take [MMC]?,[Number]
Will [MMC] help me get a job?,[Minor] can do [about].
How many classes would I have to take to get a Minor in [MMC]?,[Units/4] classes are required for [Minor]
How do I learn more about [MMC]?,Here is info about [Minor]: [about]
Which classes are crosslisted in [DEPT]?,[CLASS_NAME_LIST] are crosslisted in [DEPARTMENT_ABBREVIATION].
What [DEPT] courses are required?,List of Strings
What classes are required from [DEPT]?,List of Strings
How many [DEPT] courses are required?,Number
How many courses from [DEPT] are required?,Number
How many classes of [DEPT] do I have to complete?,Number
What clubs does the [DEPT] department offer?,"The following clubs are in the [Department] department: [Club], ."
How many clubs are in the [DEPT] department?,There are [Number] clubs.
What types of clubs does the [DEPT] department offer?,"[Club(s)] are (is a) [Type] club(s),."
How do you sign up to be a [DEPT] tutor?,Contact [Faculty] at [Email].
What accreditations does [DEPT] have?,[Department] has [list of accreditations].
What college does [DEPT] belong to?,[Department] belongs to the college of [college].
What positions are available in [DEPT]?,[Department] has the following positions available: [list of positions].
Can I get a job at Cal Poly in [DEPT]?,[Department] has the following available positions: [list of positions available].
Who is the advisor of the [CLUB] club?,[Faculty] is the advisor of the [Club] club.
What is the email of the President of the [CLUB] club?,[Person]s email is [Email].
What type of club is the [CLUB] club?,It is a [Type] club.
What is the email for the advisor of the [CLUB] club?,[Faculty]s email is [Email].
What is the [CLUB] club?,[Club-Description]
What is the homepage of the [CLUB] club?,The homepage is [Club-Website].
What is the box number of the [CLUB] club?,The box number to the [Club] club is [Box-Number].
What is the email for the [CLUB] club?,The email for the [Club] club is [Email].
What are the social media accounts for the [CLUB] club?,[Club] clubs Facebook page is [Facebook]. [Club] clubs Instagram account is [Instagram].
How many people follow the [CLUB] club's Facebook page?,[Followers] follow the [Stat-Club] clubs Facebook page.
Are there any new posts on the [CLUB] club's Facebook page?,There are [Posts] new posts today and [Posts] posts in the past 30 days on the [Stat-Club] clubs Facebook page.
What is the next event for [CLUB]?,The next event is [Stat-Event] on [Date].
When is the next event for [CLUB]?,The next event is [Stat-Event] on [Date].
How many people follow the [CLUB] club's Facebook page?,[Followers] follow the [CSSE-Club] clubs Facebook page.
What is the next event for [CLUB]?,The next event is [CSSE-Event] on [Date].
When is the next event for [CLUB]?,The next event is [CSSE-Event] on [Date].
Who are the officers for [CLUB] club?,"The officers for [Stat-Club] are: [Person] ([Position]),."
Who are the officers for [CLUB] club?,"The officers for [CSSE-Club] are: [Person] ([Position]),."
When are the meetings for [CLUB] club?,The meetings are [Day] at [Time] in room [Room].
When is the next meeting for [CLUB] club?,The next meeting is at [Date] at [Time] in room [Room].
Where is [CLUB] located?,[Stat-Club] is located in [Room].
Where is [CLUB] located?,[CSSE-Club] is located in [Room].
Does [CLUB] have their own room? (No.,Yes.)
What college is affiliated with the [CLUB] club?,The College of [College].
What are some past events of the [CLUB] club?,"Some past events are [Stat-Event] on [Date],."
What are some past events of the [CLUB] club?,"Some past events are [CSSE-Event] on [Date],"
What was the last event of the [CLUB] club?,The last event was [Stat-Event] on [Date].
What was the last event of the [CLUB] club?,The last event was [CSSE-Event] on [Date].
When was the last event of [CLUB] club?,The last event was [Stat-Event] on [Date].
Who is the president of the [CLUB] club?,[Person] is the president.
Who is the vice president of the [CLUB] club?,[Person] is the vice president.
Who is the secretary of the [CLUB] club?,[Person] is the secretary.
Who is the treasurer of the [CLUB] club?,[Person] is the treasurer.
How can I contact [CLUB]?,Contact [Club] via [Email].
What is the phone number of the President of the [CLUB] club?,[Person]s phone number is [Phone Number].
What is the phone number of the Advisor of the [CLUB] club?,[Faculty]s phone number is [Phone Number].
How many people posted on the [CLUB] club's Facebook page in the past 30 days?,[Number] people posted on the page.
How many people joined the [CLUB] club's Facebook page in the past 30 days?,[Number] people joined the page.
How many people joined the [CLUB] club's Facebook page in the past 30 days?,[Number] people posted on the page.
What resources are used by the [CLUB] club?,[Club] uses [Resources].
How many followers does the [CLUB] club's Instagram account have?,The [CSSE-Club] Instagram account has [Followers] followers.
How many accounts does the [CLUB]'s Instagram follow?,The [CSSE-Club]s Instagram follows [Number] accounts.
How many followers does the [CLUB] club's Instagram account have?,The [Stat-Club] Instagram account has [Followers] followers.
When was the [CLUB] established?,The [CSSE-Club] was established on [Date].
When was the [CLUB] established?,The [Stat-Club] was established on [Date].
Does the [CLUB] have an office?,No./Yes.
Where is the office of the [CLUB]?,The [CSSE-Club] has no office./It is in [Room].
How many officers does the [CLUB] have?,The [CSSE-Club] has [Number] officers.
How many teams does the [CLUB] have?,The [CSSE-Club] has [Number] teams.
Where will the next event of the [CLUB] be held?,The next event of the [CSSE-Club] will be held in [Room] or [Place].
When will the next event of the [CLUB] be held?,The next event of the [CSSE-Club] will be held at [Time] on [Date].
How many events does the [CLUB] have next week?,The [CSSE-Club] has [number] events next week.
What is the next event of the [CLUB]?,It is the [Event].
What is the website link for [CLUB]?,The URL is [ClubOrgURL].
Is there a website for [CLUB]?,[YesOrNo] (if yes then: The URL is [ClubOrgURL].)
How do I learn more about [CLUB]?,The URL for [CSSESTATClubOrgName] is [ClubOrgURL].
What does [CLUB] do?,[club description].
Who should I contact for [CLUB]?,[ContactName].
Is there a contact for [CLUB]?,The contact is [ContactName].
What is the location of [CLUB]?,[Location]
Where is [CLUB]?,The club location is [Location].
Where can I visit [CLUB] online?,The URL is [ClubOrgURL].
What is the URL for [CLUB]?,The URL is [ClubOrgURL].
Can you describe the [CLUB]?,[club description].
Could you give me a brief overview of [CLUB]?,[club description].
Who is the chief contact for [CLUB]?,[ContactName]
Who should I get in touch with for [CLUB]?,[ContactName]
What is the general contact information for [CLUB]?,The email is [ClubGenEmail] and the phone number is [ClubGenPhone]
Who is the club adviser for [CLUB]?,The club adviser for [CSSESTATClubOrgName] is [FacultyAdviser]
What teachers teach a class in [SECRET_HIDEOUT]?,[teacher list] teach in [building name].
Which classes are taught in [SECRET_HIDEOUT]?,[class list] are taught in [building name].
Do any teachers have office hours in [SECRET_HIDEOUT]?,[yes/no] [teacher]s office hours are in [office location]
What professors have offices in [SECRET_HIDEOUT]?,[CSSE-Faculty-List] have offices in [Building].
Which professors have office hours in [SECRET_HIDEOUT]?,[Instructors] have office hours in [Room].
Who are the professors with office hours in [SECRET_HIDEOUT]?,[Instructors] have office hours in [Room].
Whose office is in [SECRET_HIDEOUT]?,[Instructor]'s office is in [Room]
Which professors have offices in building [SECRET_HIDEOUT]?,[Instructors] have offices in building [Building].
How many professors have offices in building [SECRET_HIDEOUT]?,[N] professors have offices in building [Building].
